aver_hkl cubic

   H  K    L  Intensity  sIntensity  
  -2  0  -20     273.69        2.64  
   2  0   20     262.68        2.59  
   2  0  -22     269.62        2.71  
  -2  0   22     250.18        2.62  
  -2  0  -26     791.96        4.93  
   2  0   26     744.52        4.72  
   2  0  -19     421.27        3.18  
  -2  0   19     398.43        3.10  
  -2  0  -23     647.01        4.25  
   2  0   23     603.06        4.12  
   2  0  -10     603.51        3.06  
  -2  0   10     590.10        3.02  
   0  0   27     250.94        2.57  
   2  0  -16     250.80        2.30  
  -2  0   16     240.08        2.26  
   2  0  -25     221.37        2.91  
