calc chi_sq fr_calc fr sfr
calc chi_sq_per_n fr_calc fr sfr
min fr fr_calc
max fr fr_calc
print H K L fr sfr fr_calc qsq

  H    K    L       fr  fr_calc      sfr      qsq
  0    2    0  0.09510  0.09540  0.00450  0.98396
  0    2   -1  0.44460  0.46920  0.01190  0.99741
  1   -1    1  0.46850  0.41940  0.01030  0.72542
  0    0   -2  0.62600  0.60690  0.02250  0.99641
  0    2   -2  0.06960  0.07890  0.00480  0.99995
  1    3    1  0.19680  0.08900  0.02360  0.94378
  0    4    0  0.76060  0.71360  0.00780  0.98396
  0    4   -1  0.38510  0.35330  0.02630  0.99224
  2    2    0  0.43550  0.45230  0.04980  0.43534
  1    3    2  1.22660  1.10480  0.05290  0.97549
  2    2    1  0.45600  0.40570  0.03010  0.61344
  0    2   -3  0.36310  0.36730  0.00440  0.99982
  1    1   -3  3.13210  2.81530  0.39190  0.92647
  2    0    2  1.26350  1.62880  0.04560  0.71903
  0    4   -2  1.97830  2.06110  0.03300  0.99741
  2    2   -2  1.54520  1.31440  0.64850  0.70139
  1   -5   -1  0.17490  0.20130  0.01650  0.85263
  2    4    0  0.79790  0.70920  0.00980  0.77698
  0    0   -4  0.60460  0.59780  0.00270  0.99641
  0    2   -4  0.27080  0.29320  0.01460  0.99939
  1    1   -4  0.85900  0.89720  0.02880  0.95092
  2    2   -3  0.24410  0.19550  0.03130  0.80986
  0    6    0  2.48950  2.56260  0.15700  0.98396
  1   -5    2  1.12990  0.90510  0.07970  0.92799
  0    6   -1  0.23400  0.20510  0.00830  0.98960
  2   -4   -2  0.31180  0.23940  0.01890  0.67275
  0    6    2  1.16050  0.96660  0.05180  0.97982
  2    0    4  0.34340  0.30270  0.02560  0.91953
  1   -5    3  0.15020  0.14850  0.02020  0.95543
  0    4    4  0.08160  0.11130  0.00830  0.98680
  2    4   -3  0.38480  0.12620  0.13610  0.87854
  2    6    0  0.88810  0.94280  0.05360  0.90644
  0    2    5  0.33860  0.26410  0.00970  0.99261
  2    6   -1  0.21830  0.14140  0.01670  0.90469
  0    6    3  0.20770  0.17750  0.01140  0.98134
  2   -6   -2  0.36510  0.38140  0.01760  0.75664
  1   -3   -5  0.41110  0.34000  0.02260  0.94377
  2   -4    4  0.75770  0.73450  0.01600  0.90828
  0   -8    0  0.74930  0.74370  0.00620  0.98396
  2   -2   -5  0.18480  0.14000  0.01600  0.86767
  0    6    4  1.35590  1.37890  0.16970  0.98337
  2    6   -3  0.14780  0.09130  0.01390  0.92841
  0    0   -6  1.71230  1.80120  0.18340  0.99641
  0   -8    2  0.09090  0.06930  0.07010  0.99224
  1   -1   -6  0.93840  0.85130  0.05570  0.96273
  1   -5   -5  0.52170  0.46830  0.03090  0.94007
  2    0   -6  1.47100  1.48490  0.01660  0.91064
  0   -6    5  0.25200  0.14410  0.03560  0.99968
