copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
    8.52  256.71953  24.21633  260.34770  24.37900  517.06723   -3.62817
    8.57  258.40241  24.70908  265.95910  25.03900  524.36151   -7.55669
    8.62  261.31565  24.21915  258.72620  24.12000  520.04185    2.58945
    8.67  265.33388  24.71047  261.14450  24.54500  526.47838    4.18938
    8.72  261.34904  24.48725  261.14230  24.48800  522.49134    0.20674
    8.77  257.08984  24.25538  258.75000  24.33500  515.83984   -1.66016
    8.82  263.32594  24.51491  260.61700  24.41100  523.94294    2.70894
    8.87  252.21627  23.91293  256.24900  24.09200  508.46527   -4.03273
    8.92  261.63807  24.59389  256.51260  24.38600  518.15067    5.12547
    8.97  257.12532  24.36668  256.38740  24.34500  513.51272    0.73792
    9.02  258.17081  24.28327  258.35370  24.29900  516.52451   -0.18289
    9.07  259.19523  24.28837  259.59850  24.31400  518.79373   -0.40327
    9.12  258.40421  24.41694  259.44370  24.47000  517.84791   -1.03949
    9.17  253.80187  23.99282  258.25070  24.18900  512.05257   -4.44883
    9.22  251.58125  24.26958  256.04560  24.47000  507.62685   -4.46435
    9.27  256.35087  24.49535  257.44550  24.55100  513.79637   -1.09463
    9.32  252.06458  23.91026  250.23650  23.84200  502.30108    1.82808
    9.37  252.54480  23.98910  251.76950  23.96600  504.31430    0.77530
    9.42  257.70601  24.47811  255.51690  24.39400  513.22291    2.18911
    9.47  253.47022  24.08244  259.56130  24.34900  513.03152   -6.09108
    9.52  251.81455  24.12553  256.34540  24.32800  508.15995   -4.53085
    9.57  255.43701  24.13689  258.72830  24.28500  514.16531   -3.29129
    9.62  247.30556  24.21119  252.98250  24.46700  500.28806   -5.67694
    9.67  252.87990  24.10078  256.27430  24.25400  509.15420   -3.39440
    9.72  258.55537  24.27952  253.74150  24.08600  512.29687    4.81387
    9.77  258.10906  24.05310  256.17870  23.98200  514.28776    1.93036
    9.82  253.96879  24.27570  255.51490  24.35000  509.48369   -1.54611
    9.87  250.85402  24.15819  252.94980  24.25700  503.80382   -2.09578
    9.92  258.81149  24.28814  254.71420  24.12400  513.52569    4.09729
    9.97  256.44504  25.11318  248.63060  24.77700  505.07564    7.81444
   10.02  256.32679  25.06037  252.66300  24.90900  508.98979    3.66379
   10.07  253.91449  23.96876  255.32300  24.03700  509.23749   -1.40851
   10.12  251.29948  23.91859  252.22380  23.96800  503.52328   -0.92432
   10.17  252.88037  24.06146  257.18950  24.25300  510.06987   -4.30913
   10.22  258.85270  23.93961  252.70780  23.69300  511.56050    6.14490
   10.27  257.41032  24.00275  253.37260  23.84300  510.78292    4.03772
   10.32  256.49160  23.10124  252.92130  22.96500  509.41290    3.57030
   10.42  255.51773  23.55504  250.77510  23.36800  506.29283    4.74263
   10.47  249.61492  23.86252  253.62990  24.04300  503.24482   -4.01498
   10.72  244.44345  24.39810  248.69050  24.59600  493.13395   -4.24705
   10.77  254.73683  25.07007  246.61550  24.71900  501.35233    8.12133
   10.82  246.18693  25.17957  246.55000  25.20500  492.73693   -0.36307
   10.87  248.67595  26.13251  241.85310  25.82000  490.52905    6.82285
   10.92  246.89076  21.86360  246.53500  21.85800  493.42576    0.35576
   10.97  242.36444  22.15668  244.37130  22.24600  486.73574   -2.00686
   11.02  244.34866  22.45110  244.13060  22.45100  488.47926    0.21806
   11.07  242.46931  22.49901  241.89930  22.48400  484.36861    0.57001
   11.12  246.38038  23.11296  244.64030  23.04800  491.02068    1.74008
   11.17  240.04068  22.90549  243.88680  23.07800  483.92748   -3.84612
   11.22  243.83450  22.77414  245.43830  22.85000  489.27280   -1.60380
   11.27  245.15493  22.52277  243.27620  22.45400  488.43113    1.87873
   11.32  246.55634  21.79376  244.31920  21.71300  490.87554    2.23714
   11.37  245.62517  20.71617  247.60220  20.79900  493.22737   -1.97703
   11.42  243.55253  37.04900  253.42500  37.72600  496.97753   -9.87247
   11.47  244.12258  34.22401  244.73650  34.27700  488.85908   -0.61392
   11.52  243.09714  23.61979  242.21160  23.59100  485.30874    0.88554
   11.57  240.84559  22.95762  237.89110  22.84100  478.73669    2.95449
   11.62  241.53372  21.55385  240.46880  21.51900  482.00252    1.06492
   11.67  242.35636  22.55922  244.80200  22.66900  487.15836   -2.44564
