  2Theta(x)          dd      Delete          del         dd        I_sum(y)    I_diff(y2)
    6.02000  29256.89139  264.24711  28345.26000  260.63000  57602.15139    911.63139
    6.07000  28087.97810  254.29313  28030.85000  254.15000  56118.82810     57.12810
    6.12000  28622.85939  258.40391  28706.05000  258.84000  57328.90939    -83.19061
    6.17000  28429.02359  252.41207  28651.86000  253.39000  57080.88359   -222.83641
    6.22000  28087.34988  258.22454  28152.94000  258.59000  56240.28988    -65.59012
    6.27000  28860.88259  255.82539  28238.68000  253.45000  57099.56259    622.20259
    6.32000  28375.27928  258.89666  28395.71000  259.08000  56770.98928    -20.43072
    6.37000  28028.30673  251.59024  28512.43000  253.62000  56540.73673   -484.12327
    6.42000  27923.10345  256.92026  28417.58000  259.04000  56340.68345   -494.47655
    6.47000  28249.50283  248.20569  28241.36000  248.27000  56490.86283      8.14283
    6.52000  27589.47835  262.23069  28227.33000  265.03000  55816.80835   -637.85165
    6.57000  27889.79377  257.00060  27881.37000  257.06000  55771.16377      8.42377
    6.62000  27750.67540  256.54252  27895.14000  257.23000  55645.81540   -144.46460
    6.67000  27913.17926  250.03268  27879.04000  249.99000  55792.21926     34.13926
    6.72000  27666.51431  260.08896  28272.59000  262.72000  55939.10431   -606.07569
    6.77000  27146.78714  256.88597  27478.38000  258.38000  54625.16714   -331.59286
    6.82000  27523.29356  259.31599  27490.21000  259.27000  55013.50356     33.08356
    6.87000  27296.42957  253.34292  27504.68000  254.30000  54801.10957   -208.25043
    6.92000  27096.68368  246.29659  27680.14000  248.74000  54776.82368   -583.45632
    6.97000  26681.82547  253.77791  27251.85000  256.28000  53933.67547   -570.02453
    7.02000  26757.29281  246.29197  27384.43000  248.95000  54141.72281   -627.13719
    7.07000  27338.56466  255.08614  27220.67000  254.68000  54559.23466    117.89466
    7.12000  27227.87871  246.04010  26834.65000  244.54000  54062.52871    393.22871
    7.17000  26896.30843  252.95776  27038.21000  253.65000  53934.51843   -141.90157
    7.22000  27062.37087  244.97564  27188.57000  245.58000  54250.94087   -126.19913
    7.27000  26793.85246  252.90058  26912.83000  253.49000  53706.68246   -118.97754
    7.32000  26612.80274  243.43077  27097.05000  245.49000  53709.85274   -484.24726
    7.37000  27003.24564  251.10614  26988.84000  251.15000  53992.08564     14.40564
    7.42000  27243.38218  249.05249  26696.86000  246.89000  53940.24218    546.52218
